id,title,title_py,title_en,product_info,product_info_en,group_id,group_session_id,category_id,cur_category_name_en,cur_category_name,hall_id,cur_hall_name,area_id,area,area_en,cur_area_name,logo,bg_cover,pos_no,addr,desc,sort,delete_time,create_time,update_time,hsort
43212,山东瑞纳特化工有限公司,sdrnthgyxgs,"SHANDONG RUINAT CHEMICAL CO.,LTD",[],[],11,24,91,Pharma Ingredients,制药原料,178,W9——W9,,中国大陆,China Mainland,,,,W9A07,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,山东瑞纳特化工有限公司
43234,山东瑞双化工有限公司,sdrshgyxgs,"Shandong Ruishuang Chemical Co., Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,178,W9——W9,,中国大陆,China Mainland,,,,W9C52,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,山东瑞双化工有限公司
42360,山东润昕生物科技有限公司,sdrxswkjyxgs,"Shandong Runxin Biotechnology Co.,Ltd",[],[],11,24,94,Finished Dosage,制剂,198,E3——E3,,中国大陆,China Mainland,,,,E3B68,,,0,,2024-05-16 20:29:15,2024-05-16 20:29:15,山东润昕生物科技有限公司
43302,山东瑞亿康生物医药有限公司,sdrykswyyyxgs,"ShandongRuiyikang Biotechnology Co.,Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,194,E7——E7,,中国大陆,China Mainland,,,,E7D90b,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,山东瑞亿康生物医药有限公司
42774,山东睿鹰制药集团有限公司,sdryzyjtyxgs,"Shandong Ruiying Pharmaceutical Group Co., Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,183,W4——W4,,中国大陆,China Mainland,,,,W4C96,,,0,,2024-05-16 20:29:17,2024-05-16 20:29:17,山东睿鹰制药集团有限公司
43740,山东盛华新材料科技股份有限公司,sdshxclkjgfyxgs,"Shandong Shenghua New Material Technology Co., Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,183,W4——W4,,中国大陆,China Mainland,,,,W4E69,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,山东盛华新材料科技股份有限公司
43527,山东四环药业股份有限公司,sdshyygfyxgs,"Shandong Sihuan Pharmaceutical Co.,Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,185,W2——W2,,中国大陆,China Mainland,,,,W2G30,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,山东四环药业股份有限公司
44286,山东世纪通达国际航运有限公司,sdsjtdgjhyyxgs,"SKITA AIR INTERNATIONAL LOGISTICS CO.,LTD",[],[],11,24,95,Natural Extracts,天然提取物,197,E4——E4,,中国大陆,China Mainland,,,,E4G32,,,0,,2024-05-16 20:29:21,2024-05-16 20:29:21,山东世纪通达国际航运有限公司
42879,山东胜利生物工程有限公司,sdslswgcyxgs,Shandong Shengli Bioengineering,[],[],11,24,91,Pharma Ingredients,制药原料,186,W1——W1,,中国大陆,China Mainland,,,,W1B32,,,0,,2024-05-16 20:29:17,2024-05-16 20:29:17,山东胜利生物工程有限公司
43299,山东绅联药业股份有限公司,sdslyygfyxgs,"Shandong Sheelian Pharmaceutical Co.,Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,196,E5——E5,,中国大陆,China Mainland,,,,E5E79,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,山东绅联药业股份有限公司
43631,山东圣鲁制药有限公司,sdslzyyxgs,"Shandong Shenglu Pharmaceutical Co.,Ltd",[],[],11,24,94,Finished Dosage,制剂,206,E9——E9,,中国大陆,China Mainland,,,,E9A21,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,山东圣鲁制药有限公司
42466,山东赛托生物科技股份有限公司,sdstswkjgfyxgs,"Shandong Sito Bio-technology Co., Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,185,W2——W2,,中国大陆,China Mainland,,,,W2C20,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,山东赛托生物科技股份有限公司
43246,山东森泰新材料有限公司,sdstxclyxgs,"SHANDONG SYNTECH INDUSTRIES CO.,LTD",[],[],11,24,91,Pharma Ingredients,制药原料,180,W7——W7,,中国大陆,China Mainland,,,,W7B36,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,山东森泰新材料有限公司
43937,山东圣香远生物科技股份有限公司,sdsxyswkjgfyxgs,"Shandong shengxiangyuan Biotechnology Co., Ltd",[],[],11,24,95,Natural Extracts,天然提取物,197,E4——E4,,中国大陆,China Mainland,,,,E4F38,,,0,,2024-05-16 20:29:20,2024-05-16 20:29:20,山东圣香远生物科技股份有限公司
43669,山东省越兴化工有限公司,sdsyxhgyxgs,"Shandong Yuexing Chemical Co., Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,179,W8——W8,,中国大陆,China Mainland,,,,W8C08,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,山东省越兴化工有限公司
43461,山东同成医药股份有限公司,sdtcyygfyxgs,"Shandong Tongcheng Medicine Co.,Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,177,W10——W10,,中国大陆,China Mainland,,,,W10C07,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,山东同成医药股份有限公司
43134,山东泰华生物科技股份有限公司,sdthswkjgfyxgs,Shandong Taihua Biotech. Corporation Ltd.,[],[],11,24,91,Pharma Ingredients,制药原料,180,W7——W7,,中国大陆,China Mainland,,,,W7A61,,,0,,2024-05-16 20:29:17,2024-05-16 20:29:17,山东泰华生物科技股份有限公司
43328,山东同利新材料有限公司,sdtlxclyxgs,"ShanDong Tongli New Materials Co., LTD.",[],[],11,24,91,Pharma Ingredients,制药原料,180,W7——W7,,中国大陆,China Mainland,,,,W7C70,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,山东同利新材料有限公司
44246,山东天微医药科技有限公司,sdtwyykjyxgs,"Shandong Natural Micron Pharm Tech Co.,LTD",[],[],11,24,95,Natural Extracts,天然提取物,196,E5——E5,,中国大陆,China Mainland,,,,E5D16,,,0,,2024-05-16 20:29:20,2024-05-16 20:29:20,山东天微医药科技有限公司
43199,山东天信医药科技有限公司,sdtxyykjyxgs,"Shandong Tianxin Pharma-tech Co.,Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,180,W7——W7,,中国大陆,China Mainland,,,,W7C62,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,山东天信医药科技有限公司
44147,山东天音生物科技有限公司,sdtyswkjyxgs,"Shandong Tianyin Biotechnology Co., Ltd.",[],[],11,24,95,Natural Extracts,天然提取物,197,E4——E4,,中国大陆,China Mainland,,,,E4A90,,,0,,2024-05-16 20:29:20,2024-05-16 20:29:20,山东天音生物科技有限公司
43229,山东伟明化工有限公司,sdwmhgyxgs,"Shandong Weiming Chemical Co., Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,178,W9——W9,,中国大陆,China Mainland,,,,W9C02,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,山东伟明化工有限公司
42717,山东惟普控股有限公司,sdwpkgyxgs,Synvent Materials Corporation,[],[],11,24,93,Pharma Excipients,药用辅料,195,E6——E6,,中国大陆,China Mainland,,,,E6D25,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,山东惟普控股有限公司
43878,山东威泰精细化工有限公司,sdwtjxhgyxgs,"Shandong Weitai Fine Chemical Co.,Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,206,E9——E9,,中国大陆,China Mainland,,,,E9B37,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,山东威泰精细化工有限公司
43855,山东轩德医药科技有限公司,sdxdyykjyxgs,"Shandong Shining Pharm Co.,Ltd. ",[],[],11,24,91,Pharma Ingredients,制药原料,199,E2——E2,,中国大陆,China Mainland,,,,E2C62,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,山东轩德医药科技有限公司
43088,山东欣宏药业有限公司,sdxhyyyxgs,"Shandong Xinhong Pharmaceutical Co.,Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,196,E5——E5,,中国大陆,China Mainland,,,,E5D66,,,0,,2024-05-16 20:29:17,2024-05-16 20:29:17,山东欣宏药业有限公司
42402,山东新华制药股份有限公司,sdxhzygfyxgs,"Shandong Xinhua Pharmaceutical Co.,Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,186,W1——W1,,中国大陆,China Mainland,,,,W1F22,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,山东新华制药股份有限公司
43510,山东西普商贸有限公司,sdxpsmyxgs,CIP GLOBAL LTD,[],[],11,24,91,Pharma Ingredients,制药原料,184,W3——W3,,中国大陆,China Mainland,,,,W3A02,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,山东西普商贸有限公司
44211,山东祥维斯生物科技股份有限公司,sdxwsswkjgfyxgs,"Sunwin Biotech Shandong Co., Ltd.",[],[],11,24,95,Natural Extracts,天然提取物,196,E5——E5,,中国大陆,China Mainland,,,,E5D46b,,,0,,2024-05-16 20:29:20,2024-05-16 20:29:20,山东祥维斯生物科技股份有限公司
